Question	Source
Are you willing to travel?	https://www.indeed.com/career-advice/interviewing/top-interview-questions-and-answers
Are you overqualified for this role?	https://www.indeed.com/career-advice/interviewing/top-interview-questions-and-answers
Would you be willing to work nights and weekends?	https://www.indeed.com/career-advice/interviewing/top-interview-questions-and-answers
What qualities make a good leader?	https://www.indeed.com/career-advice/interviewing/top-interview-questions-and-answers
What is the name of our CEO?	https://www.indeed.com/career-advice/interviewing/top-interview-questions-and-answers
What questions haven’t I asked you?	https://www.indeed.com/career-advice/interviewing/top-interview-questions-and-answers
What do you know about our company?	https://www.indeed.com/career-advice/interviewing/top-interview-questions-and-answers
Why are you changing careers?	https://www.indeed.com/career-advice/interviewing/top-interview-questions-and-answers
Can you walk us through your resume?	https://www.indeed.com/career-advice/interviewing/top-interview-questions-and-answers
Why is our company interesting to you?	https://www.indeed.com/career-advice/interviewing/top-interview-questions-and-answers
Who was your favorite manager and why?	https://www.indeed.com/career-advice/interviewing/top-interview-questions-and-answers
Who are our competitors?	https://www.indeed.com/career-advice/interviewing/top-interview-questions-and-answers
Why are you the right person for this job?	https://www.indeed.com/career-advice/interviewing/top-interview-questions-and-answers
What is your greatest personal achievement?	https://www.indeed.com/career-advice/interviewing/top-interview-questions-and-answers
Where do you see yourself in 10 years?	https://www.indeed.com/career-advice/interviewing/top-interview-questions-and-answers
What do you know about our industry?	https://www.indeed.com/career-advice/interviewing/top-interview-questions-and-answers
Describe a time when your boss was wrong. How did you handle the situation?	https://www.indeed.com/career-advice/interviewing/top-interview-questions-and-answers
How would you feel about reporting to a person younger than you?	https://www.indeed.com/career-advice/interviewing/top-interview-questions-and-answers
Describe a time you went above and beyond at work.	https://www.indeed.com/career-advice/interviewing/top-interview-questions-and-answers
Tell me about the last mistake you made.	https://www.indeed.com/career-advice/interviewing/top-interview-questions-and-answers
What do you want to accomplish in the first 30 days of this job?	https://www.indeed.com/career-advice/interviewing/top-interview-questions-and-answers
Describe a time you got angry at work.	https://www.indeed.com/career-advice/interviewing/top-interview-questions-and-answers
Describe a time when you had to give a person difficult feedback.	https://www.indeed.com/career-advice/interviewing/top-interview-questions-and-answers
Describe a time when you disagreed with your boss.	https://www.indeed.com/career-advice/interviewing/top-interview-questions-and-answers
Would you ever lie for a company?	https://www.indeed.com/career-advice/interviewing/top-interview-questions-and-answers
Tell me about how you dealt with a difficult challenge in the workplace.	https://www.indeed.com/career-advice/interviewing/top-interview-questions-and-answers
What do you really think about your previous boss?	https://www.indeed.com/career-advice/interviewing/top-interview-questions-and-answers
What has been the most rewarding experience of your career thus far?	https://www.indeed.com/career-advice/interviewing/top-interview-questions-and-answers
How would you deal with an angry or irate customer?	https://www.indeed.com/career-advice/interviewing/top-interview-questions-and-answers
Describe a time you chose to not help a teammate.	https://www.indeed.com/career-advice/interviewing/top-interview-questions-and-answers
Describe a time you went out of your way to help somebody.	https://www.indeed.com/career-advice/interviewing/top-interview-questions-and-answers
Describe a time when your work was criticized?	https://www.indeed.com/career-advice/interviewing/top-interview-questions-and-answers
What do you want to accomplish in the first 90 days of this job?	https://www.indeed.com/career-advice/interviewing/top-interview-questions-and-answers
Do you think you could have done better in your last job?	https://www.indeed.com/career-advice/interviewing/top-interview-questions-and-answers
How would you fire someone?	https://www.indeed.com/career-advice/interviewing/top-interview-questions-and-answers
Can you discuss your salary history?	https://www.indeed.com/career-advice/interviewing/top-interview-questions-and-answers
How much do you expect to be earning in five years?	https://www.indeed.com/career-advice/interviewing/top-interview-questions-and-answers
What makes you uncomfortable?	https://www.indeed.com/career-advice/interviewing/top-interview-questions-and-answers
What is your ideal working environment?	https://www.indeed.com/career-advice/interviewing/top-interview-questions-and-answers
What commonly accepted view do you disagree with and why?	https://www.indeed.com/career-advice/interviewing/top-interview-questions-and-answers
What are some positive things your last boss would say about you?	https://www.indeed.com/career-advice/interviewing/top-interview-questions-and-answers
What differentiates you from our other candidates?	https://www.indeed.com/career-advice/interviewing/top-interview-questions-and-answers
Are you a morning person?	https://www.indeed.com/career-advice/interviewing/top-interview-questions-and-answers
How would a good friend describe you?	https://www.indeed.com/career-advice/interviewing/top-interview-questions-and-answers
Are you more of a leader or a follower?	https://www.indeed.com/career-advice/interviewing/top-interview-questions-and-answers
Do you have a personal mission statement?	https://www.indeed.com/career-advice/interviewing/top-interview-questions-and-answers
What do you like most about yourself?	https://www.indeed.com/career-advice/interviewing/top-interview-questions-and-answers
How long do you expect to work for this company?	https://www.indeed.com/career-advice/interviewing/top-interview-questions-and-answers
How do you keep yourself organized?	https://www.indeed.com/career-advice/interviewing/top-interview-questions-and-answers
What character traits would your friends use to describe you?	https://www.indeed.com/career-advice/interviewing/top-interview-questions-and-answers
What is your favorite movie of all time and why?	https://www.indeed.com/career-advice/interviewing/top-interview-questions-and-answers
What are three skills or traits you wish you had?	https://www.indeed.com/career-advice/interviewing/top-interview-questions-and-answers
Describe your perfect company.	https://www.indeed.com/career-advice/interviewing/top-interview-questions-and-answers
Do you prefer to work alone or on a team?	https://www.indeed.com/career-advice/interviewing/top-interview-questions-and-answers
What is your proudest achievement?	https://www.indeed.com/career-advice/interviewing/top-interview-questions-and-answers
How do you want to improve yourself in the upcoming year?	https://www.indeed.com/career-advice/interviewing/top-interview-questions-and-answers
Who are your heroes?	https://www.indeed.com/career-advice/interviewing/top-interview-questions-and-answers
What is your favorite memory from childhood?	https://www.indeed.com/career-advice/interviewing/top-interview-questions-and-answers
What is your favorite website?	https://www.indeed.com/career-advice/interviewing/top-interview-questions-and-answers
When were you most satisfied in a previous job?	https://www.indeed.com/career-advice/interviewing/top-interview-questions-and-answers
What’s the last book you read?	https://www.indeed.com/career-advice/interviewing/top-interview-questions-and-answers
What is the best job you ever had?	https://www.indeed.com/career-advice/interviewing/top-interview-questions-and-answers
What is your greatest fear?	https://www.indeed.com/career-advice/interviewing/top-interview-questions-and-answers
What was your greatest failure, and what did you learn from it?	https://www.indeed.com/career-advice/interviewing/top-interview-questions-and-answers
What’s the biggest lesson you’ve learned from a mistake you’ve made?	https://www.indeed.com/career-advice/interviewing/top-interview-questions-and-answers
If you won a $10 million lottery, would you still work?	https://www.indeed.com/career-advice/interviewing/top-interview-questions-and-answers
What was the last project you led and what was the outcome?	https://www.indeed.com/career-advice/interviewing/top-interview-questions-and-answers
How many hours per week do you normally work?	https://www.indeed.com/career-advice/interviewing/top-interview-questions-and-answers
Do you ever take your work home with you?	https://www.indeed.com/career-advice/interviewing/top-interview-questions-and-answers
What three things are most important to you in your job?	https://www.indeed.com/career-advice/interviewing/top-interview-questions-and-answers
What is one negative thing your last boss might say about you?	https://www.indeed.com/career-advice/interviewing/top-interview-questions-and-answers
What will you miss about your previous job?	https://www.indeed.com/career-advice/interviewing/top-interview-questions-and-answers
Describe your work style.	https://www.indeed.com/career-advice/interviewing/top-interview-questions-and-answers
What is your management style?	https://www.indeed.com/career-advice/interviewing/top-interview-questions-and-answers
Who has impacted you most in your career?	https://www.indeed.com/career-advice/interviewing/top-interview-questions-and-answers
What is your least favorite thing about yourself?	https://www.indeed.com/career-advice/interviewing/top-interview-questions-and-answers
What is your biggest regret and why?	https://www.indeed.com/career-advice/interviewing/top-interview-questions-and-answers
What are your coworker pet peeves?	https://www.indeed.com/career-advice/interviewing/top-interview-questions-and-answers
Why did you choose your major?	https://www.indeed.com/career-advice/interviewing/top-interview-questions-and-answers
What is your ideal company size?	https://www.indeed.com/career-advice/interviewing/top-interview-questions-and-answers
What is a book that everyone needs to read and why?	https://www.indeed.com/career-advice/interviewing/top-interview-questions-and-answers
Do you prefer working alone or in a team environment?	https://www.indeed.com/career-advice/interviewing/top-interview-questions-and-answers
Do you find it difficult to adapt to new situations?	https://www.indeed.com/career-advice/interviewing/top-interview-questions-and-answers
Do you have a mentor?	https://www.indeed.com/career-advice/interviewing/top-interview-questions-and-answers
Explain why you’ve had so many jobs?	https://www.indeed.com/career-advice/interviewing/top-interview-questions-and-answers
What do you do in your spare time?	https://www.indeed.com/career-advice/interviewing/top-interview-questions-and-answers
Describe your top three technical skills?	https://www.indeed.com/career-advice/interviewing/top-interview-questions-and-answers
What causes are you passionate about?	https://www.indeed.com/career-advice/interviewing/top-interview-questions-and-answers
If you suddenly gained the ability to time travel, what’s the first thing you’d do?	https://www.indeed.com/career-advice/interviewing/top-interview-questions-and-answers
If you could get rid of any U.S. state, which would you choose and why?	https://www.indeed.com/career-advice/interviewing/top-interview-questions-and-answers
Which is more important: creativity or efficiency?	https://www.indeed.com/career-advice/interviewing/top-interview-questions-and-answers
Is it better to be good and on time or perfect and late with your work?	https://www.indeed.com/career-advice/interviewing/top-interview-questions-and-answers
How many times per day do a clock’s hands overlap?	https://www.indeed.com/career-advice/interviewing/top-interview-questions-and-answers
How many stacked pennies would equal the height of the Empire State Building?	https://www.indeed.com/career-advice/interviewing/top-interview-questions-and-answers
Tell me about yourself	https://www.indeed.com/career-advice/interviewing/top-interview-questions-and-answers
How would you describe yourself?	https://www.indeed.com/career-advice/interviewing/top-interview-questions-and-answers
What makes you unique?	https://www.indeed.com/career-advice/interviewing/top-interview-questions-and-answers
Why do you want to work here?	https://www.indeed.com/career-advice/interviewing/top-interview-questions-and-answers
What interests you about this role?	https://www.indeed.com/career-advice/interviewing/top-interview-questions-and-answers
What motivates you?	https://www.indeed.com/career-advice/interviewing/top-interview-questions-and-answers
What are you passionate about?	https://www.indeed.com/career-advice/interviewing/top-interview-questions-and-answers
Why are you leaving your current job?	https://www.indeed.com/career-advice/interviewing/top-interview-questions-and-answers
What are your greatest strengths?	https://www.indeed.com/career-advice/interviewing/top-interview-questions-and-answers
What are your greatest weaknesses?	https://www.indeed.com/career-advice/interviewing/top-interview-questions-and-answers
What are your goals for the future?	https://www.indeed.com/career-advice/interviewing/top-interview-questions-and-answers
Where do you see yourself in five years?	https://www.indeed.com/career-advice/interviewing/top-interview-questions-and-answers
Can you tell me about a difficult work situation and how you overcame it?	https://www.indeed.com/career-advice/interviewing/top-interview-questions-and-answers
What is your salary range expectation?	https://www.indeed.com/career-advice/interviewing/top-interview-questions-and-answers
Why should we hire you?	https://www.indeed.com/career-advice/interviewing/top-interview-questions-and-answers
Do you have any questions?	https://www.indeed.com/career-advice/interviewing/top-interview-questions-and-answers
What did you like most about your last position?	https://www.indeed.com/career-advice/interviewing/top-interview-questions-and-answers
What did you like least about your last position?	https://www.indeed.com/career-advice/interviewing/top-interview-questions-and-answers
How do you handle stress?	https://www.indeed.com/career-advice/interviewing/top-interview-questions-and-answers
What is your greatest accomplishment?	https://www.indeed.com/career-advice/interviewing/top-interview-questions-and-answers
What is your teaching philosophy?	https://www.indeed.com/career-advice/interviewing/top-interview-questions-and-answers
What does customer service mean to you?	https://www.indeed.com/career-advice/interviewing/top-interview-questions-and-answers
Tell me about your work experience	https://www.indeed.com/career-advice/interviewing/top-interview-questions-and-answers
How do you define success?	https://www.indeed.com/career-advice/interviewing/top-interview-questions-and-answers
How do you work under pressure?	https://www.indeed.com/career-advice/interviewing/top-interview-questions-and-answers
